pond	id	scale	olf_l	olf_w	tele_l	tele_w	optic_l	optic_w	cere_l	cere_w	treatment	sl	bd
8	98	98	25	40.012	32.558	97.622	66.91	148.57	129.553	86.209	NP	37.59	7.52
9	51	51	26.019	27.019	25.02	86	58.034	119.004	104.077	81.006	NP	34.14	6.82
9	52	52	26.019	33.377	31.575	83.054	62.29	131.548	112.446	85.376	NP	38.05	7.27
9	55	55	25	32.388	24.698	83.024	57.697	135.37	117.835	77.006	NP	34.64	6.68
9	57	57	25	31.257	29	79.057	52.01	126.254	107.117	70.114	NP	32.8	6.88
9	76	76	25.02	34.015	27.019	83.024	62.008	126.004	107.117	82.152	NP	36.2	7.35
9	77	77	25.02	35.228	27.074	85.053	66.483	136.092	112.04	82.608	NP	37.27	7.32
9	78	78	28.16	36.497	34.713	112.792	91.761	167.863	140.161	115.572	NP	52.4	10.38
9	79	79	25.02	22.561	22.023	93.744	80.808	142.144	119.854	91.444	NP	48	9.12
9	80	80	28	30.265	24.021	92	81.025	154.052	133.304	88.091	NP	50.79	10.02
9	83	83	24	34.713	30.806	88.074	71.868	147.221	126.242	93.408	NP	41.34	8.52
9	87	87	24	28.071	30.414	106.212	91.984	165.979	141.905	110.114	NP	54.05	11.37
9	88	88	25.02	28.018	32.062	90.139	74.33	155.116	135.532	90.2	NP	44.51	8.9
9	89	89	26	27.166	26.926	94.895	82.098	147.503	123.911	100	NP	47.66	10.01
9	91	91	27.019	23.087	25.02	100.404	83.487	151.119	139.09	93.193	NP	48.17	10.28
9	92	92	25	38.328	39.294	118.849	95.273	181.604	161.756	114.18	NP	60.53	13.18
9	94	94	24	25	24	106.019	86.145	163.003	151.003	98.25	NP	51.8	11.4
9	95	95	27.019	43.186	32.14	122.188	95.258	162.117	144.779	115.261	NP	55.24	11.47
9	96	96	27.019	26.306	27.019	105.233	88.091	166.244	137.713	95.005	NP	50.54	10.81
9	98	98	25.02	26.476	23.409	85.376	61.033	134.807	119.942	75.313	NP	35.26	7.18
9	100	100	24.021	27	23.345	89.022	48.042	128.004	92.763	84.149	NP	37.05	7.09
