pond family id treatment sex sl region size
11 1 6 P F 57.1 optic_size 169.285399225845
11 1 8 P F 51.6 optic_size 93.901730036199
11 1 9 P F 70.9 optic_size 150.431293887198
12 1 1 P F 54.5 optic_size 131.788272237935
12 1 2 P M 56.7 optic_size 147.071845868367
12 1 3 P F 56.7 optic_size 125.552102012628
12 1 4 P F 62.1 optic_size 172.544161938131
12 1 5 P NA 62.1 optic_size 176.057212995492
12 1 6 P F 57.1 optic_size 143.143223769527
12 1 9 P F 61.3 optic_size 152.474400682251
12 2 1 P M 50.9 optic_size 177.001972540972
12 2 2 P F 59.6 optic_size 158.216427186236
12 2 3 P M 61.2 optic_size 156.844942139695
13 1 1 P F 64.8 optic_size 148.436064491942
13 1 2 P M 67.1 optic_size 246.705398383505
13 1 3 P F 69.9 optic_size 140.198738020623
13 1 4 P F 64.2 optic_size 156.049540860693
13 1 5 P F 43.34 optic_size 103.086086033639
13 1 6 P F 70.75 optic_size 147.844974131387
13 2 7 P M 56.66 optic_size 148.388345791835
13 2 8 P M 62.35 optic_size 178.477790121179
13 2 9 P F 56.9 optic_size 151.276747407218
5 1 1 NP M 48.8 optic_size 133.779487165365
5 1 11 NP F 60.2 optic_size 192.692727000584
5 1 12 NP F 53 optic_size 146.869456555323
5 1 13 NP F 46.7 optic_size 137.341049670216
5 1 14 NP M 49 optic_size 188.246226465103
5 1 15 NP F 54.6 optic_size 160.351195270456
5 1 16 NP F 56.3 optic_size 129.479352968358
5 1 17 NP F 66.3 optic_size 190.52853447748
5 1 18 NP F 57.9 optic_size 143.067877708005
5 1 19 NP M 56.1 optic_size 174.621616017254
5 1 2 NP F 48.6 optic_size 147.473109689174
5 1 2 NP F 48.6 optic_size 147.473109689174
5 1 20 NP F 65.3 optic_size 183.134794061566
5 1 22 NP F 48.9 optic_size 104.150079651809
5 1 3 NP M 52 optic_size 151.936685159624
5 1 3 NP M 52 optic_size 151.936685159624
5 1 4 NP M 52.2 optic_size 202.944289064336
5 1 4 NP M 52.2 optic_size 202.944289064336
5 1 5 NP F 55.2 optic_size 164.070325423118
5 1 6 NP M 50.2 optic_size 211.232836045744
5 1 7 NP F 55.9 optic_size 211.794958430286
5 1 8 NP M 49.7 optic_size 147.307301926913
5 1 9 NP M 58 optic_size 183.976601962904
5 2 1 NP F 58.53 optic_size 149.521442965958
5 2 10 NP F 62.04 optic_size 185.41505453401
5 2 11 NP F 59.98 optic_size 153.550895280013
5 2 12 NP M 59.56 optic_size 220.093230780832
5 2 13 NP F 54.77 optic_size 214.806516139873
5 2 14 NP F 59.14 optic_size 200.220427786342
